player_name,pos,team,projection1,projection2
Christian McCaffrey,RB,Panthers,334.94,334.94
Ezekiel Elliott,RB,Cowboys,298.18,298.18
Alvin Kamara,RB,Saints,292.04,292.04
Dalvin Cook,RB,Vikings,289.71,289.71
Saquon Barkley,RB,Giants,288.62,288.62
Clyde Edwards-Helaire,RB,Chiefs,266.92,266.92
Derrick Henry,RB,Titans,253.84,253.84
Kenyan Drake,RB,Cardinals,245.44,245.44
Miles Sanders,RB,Eagles,244.06,244.06
Nick Chubb,RB,Browns,241.69,241.69
Josh Jacobs,RB,Raiders,241.01,241.01
Aaron Jones,RB,Packers,240.34,240.34
Austin Ekeler,RB,Chargers,239.26,239.26
David Johnson,RB,Texans,236.58,236.58
Joe Mixon,RB,Bengals,229.03,229.03
Chris Carson,RB,Seahawks,223.7,223.7
Todd Gurley II,RB,Falcons,223.18,223.18
Le'Veon Bell,RB,Chiefs,207.05,207.05
Melvin Gordon III,RB,Broncos,200.14,200.14
James Conner,RB,Steelers,197.04,197.04
Jonathan Taylor,RB,Colts,184.22,184.22
Antonio Gibson,RB,FA,175.97,175.97
Kareem Hunt,RB,Browns,173.18,173.18
Devin Singletary,RB,Bills,172.4,172.4
Cam Akers,RB,Rams,171.19,171.19
Tarik Cohen,RB,Bears,170.01,170.01
David Montgomery,RB,Bears,169.23,169.23
D'Andre Swift,RB,Lions,161.23,161.23
Raheem Mostert,RB,49ers,160.79,160.79
Mark Ingram II,RB,Ravens,160.18,160.18
Ronald Jones II,RB,Buccaneers,158.96,158.96
James White,RB,Patriots,158.36,158.36
Phillip Lindsay,RB,Broncos,154.42,154.42
Jordan Howard,RB,FA,151.32,151.32
Duke Johnson,RB,Texans,151.13,151.13
Leonard Fournette,RB,Buccaneers,142.75,142.75
Kerryon Johnson,RB,Lions,142.51,142.51
Matt Breida,RB,Dolphins,137.06,137.06
Zack Moss,RB,Bills,136.94,136.94
J.K. Dobbins,RB,Ravens,133.7,133.7
Nyheim Hines,RB,Colts,133.15,133.15
Latavius Murray,RB,Saints,131.88,131.88
Marlon Mack,RB,Colts,131.01,131.01
Tevin Coleman,RB,49ers,125.32,125.32
Chris Thompson,RB,Jaguars,125.24,125.24
Boston Scott,RB,Eagles,124.22,124.22
Darrell Henderson Jr.,RB,Rams,124.02,124.02
Justin Jackson,RB,Chargers,108.83,108.83
Jamaal Williams,RB,Packers,104.52,104.52
James Robinson,RB,Jaguars,103.79,103.79
Tony Pollard,RB,Cowboys,102.24,102.24
Darrel Williams,RB,Chiefs,102.2,102.2
Alexander Mattison,RB,Vikings,98.96,98.96
Sony Michel,RB,Patriots,97.61,97.61
Jalen Richard,RB,Raiders,91.26,91.26
Darrynton Evans,RB,Titans,90.55,90.55
Jerick McKinnon,RB,49ers,89.19,89.19
Benny Snell Jr.,RB,Steelers,88.14,88.14
Giovani Bernard,RB,Bengals,87.53,87.53
LeSean McCoy,RB,Buccaneers,86.34,86.34
Damien Harris,RB,Patriots,84.71,84.71
Chase Edmonds,RB,Cardinals,83.62,83.62
Joshua Kelley,RB,Chargers,82.56,82.56
Devontae Booker,RB,Raiders,71.6,71.6
J.D. McKissic,RB,FA,71.44,71.44
Rashaad Penny,RB,Seahawks,70.05,70.05
Frank Gore,RB,Jets,68.54,68.54
Brian Hill,RB,Falcons,67.62,67.62
Bryce Love,RB,FA,67.5,67.5
Rex Burkhead,RB,Patriots,66.98,66.98
Peyton Barber,RB,FA,66.87,66.87
Jaylen Samuels,RB,Steelers,65.05,65.05
AJ Dillon,RB,Packers,63.59,63.59
Adrian Peterson,RB,Lions,63.1,63.1
Devine Ozigbo,RB,Jaguars,57.4,57.4
Ito Smith,RB,Falcons,55.86,55.86
Mike Davis,RB,Panthers,55.15,55.15
Carlos Hyde,RB,Seahawks,53.77,53.77
La'Mical Perine,RB,Jets,52.99,52.99
Gus Edwards,RB,Ravens,51.71,51.71
Anthony McFarland Jr.,RB,Steelers,51.39,51.39
Malcolm Brown,RB,Rams,44.41,44.41
Dion Lewis,RB,Giants,42.1,42.1
Kyle Juszczyk,RB,49ers,37.16,37.16
C.J. Ham,RB,Vikings,36.9,36.9
Cordarrelle Patterson,RB,BearsWR,1,1
Ryan Nall,RB,Bears,32.58,32.58
Khari Blasingame,RB,Titans,30.32,30.32
Royce Freeman,RB,Broncos,26.12,26.12
Dare Ogunbowale,RB,Jaguars,26.03,26.03
Ke'Shawn Vaughn,RB,Buccaneers,25.92,25.92
Myles Gaskin,RB,Dolphins,25.13,25.13
Trayveon Williams,RB,Bengals,24.81,24.81
Corey Clement,RB,Eagles,23.7,23.7
Ty Montgomery,RB,Saints,23.45,23.45
Wayne Gallman,RB,Giants,22.9,22.9
Mike Boone,RB,Vikings,22.55,22.55
D'Ernest Johnson,RB,Browns,20.69,20.69
T.J. Yeldon,RB,Bills,20.15,20.15
Qadree Ollison,RB,Falcons,20.07,20.07
Eno Benjamin,RB,Cardinals,18.69,18.69
Rico Dowdle,RB,Cowboys,17.96,17.96
Trenton Cannon,RB,Panthers,16.93,16.93
Jordan Wilkins,RB,Colts,16.71,16.71
Ameer Abdullah,RB,Vikings,16.7,16.7
Jeff Wilson Jr.,RB,49ers,16.07,16.07
Tyler Ervin,RB,Packers,13.58,13.58
Alec Ingold,RB,Raiders,13.56,13.56
Anthony Sherman,RB,Chiefs,13.56,13.56
Justice Hill,RB,Ravens,13.44,13.44
Elijhaa Penny,RB,Giants,12.9,12.9
Senorise Perry,RB,Titans,12.42,12.42
Ryquell Armstead,RB,Jaguars,12.22,12.22
Andy Janovich,RB,Browns,11.11,11.11
DeeJay Dallas,RB,Seahawks,10.98,10.98
Patrick Laird,RB,Dolphins,10.71,10.71
J.J. Taylor,RB,Patriots,10.65,10.65
Derek Watt,RB,Steelers,9.41,9.41
Michael Burton,RB,Saints,8.92,8.92
Cethan Carter,RB,Bengals,8.31,8.31
Ty Johnson,RB,Jets,8.26,8.26
Keith Smith,RB,Falcons,6.84,6.84
Jakob Johnson,RB,Patriots,6.69,6.69
Xavier Jones,RB,Rams,6.65,6.65
Samaje Perine,RB,Bengals,5.98,5.98
Reggie Gilliam,RB,Bills,5.03,5.03
Alex Armah,RB,Panthers,3.32,3.32
Jason Huntley,RB,Eagles,2.35,2.35
Raymond Calais,RB,Rams,2.32,2.32
Dwayne Washington,RB,Saints,2.23,2.23
Darwin Thompson,RB,Chiefs,2.03,2.03
Travis Homer,RB,Seahawks,1.43,1.43
Buddy Howell,RB,Texans,0.37,0.37
Patrick Ricard,RB,Ravens,0.01,0.01
Devonta Freeman,RB,Giants,0,0
Jeremy McNichols,RB,Titans,0,0
JaMycal Hasty,RB,49ers,0,0
Jason Cabinda,RB,Lions,0,0
Chandler Cox,RB,Dolphins,0,0
Dontrell Hilliard,RB,Browns,0,0
Bruce Miller,RB,Jaguars,0,0
Cullen Gillaspia,RB,Texans,0,0
LeVante Bellamy,RB,FA,0,0
Bo Scarbrough,RB,Seahawks,0,0
Nick Bawden,RB,Lions,0,0
T.J. Logan,RB,Buccaneers,0,0
C.J. Prosise,RB,Texans,0,0
Danny Vitale,RB,Patriots,0,0
Damien Williams,RB,Chiefs,0,0
